feature,importance_value,rank
P_internet,9.498024509036803e-4,1
bias_w,5.412828222795357e-4,2
Current_income,3.1578843058338726e-4,3
P_university_studies,2.58144417613743e-4,4
longitude,2.1381404706101594e-4,5
Total_houses,1.553562103240084e-4,6
P_cell_phone,1.5252557920924898e-4,7
P_extreme_poverty,1.3057446041067438e-4,8
latitude,1.1262596786358244e-4,9
P_migrants,1.0121938772690953e-4,10
P_car,1.0039611397959271e-4,11
P_female,8.119028629871237e-5,12
Mean_occupants,8.048920470764483e-5,13
P_electricity,7.092240508740695e-5,14
P_age_00_14,6.474134672653294e-5,15
P_afrodescendants,6.257799504526374e-5,16
P_working,6.150455330663436e-5,17
P_lack_quality_living_spaces,5.7123057182014124e-5,18
P_disability,4.696935174841805e-5,19
P_vulnerable_income,4.687012860176976e-5,20
P_age_15_39,4.094241334532177e-5,21
P_poverty,4.06961956699901e-5,22
P_age_65_more,4.027940285352878e-5,23
P_educational_lag,3.622554726782707e-5,24
Total_residents,3.5018060701646606e-5,25
P_read_write,2.804746991761554e-5,26
P_indigenous_language,1.6515505908523374e-5,27
Mean_age,1.083140921457398e-5,28
