feature,importance_value,rank
bias_w,0.008072929406816134,1
longitude,0.002160325960383163,2
P_internet,3.53198996609587e-4,3
P_cell_phone,2.0448180522162116e-4,4
Current_income,1.6734840611342828e-4,5
P_car,1.350193084488582e-4,6
latitude,1.036031108809091e-4,7
Total_residents,7.332929266447894e-5,8
P_working,7.072623995901553e-5,9
P_university_studies,5.3668646692331706e-5,10
P_migrants,5.2516453993834785e-5,11
P_extreme_poverty,3.653295345277158e-5,12
P_electricity,3.358402130429351e-5,13
Mean_age,3.081982554085677e-5,14
P_age_65_more,3.0712594954312657e-5,15
P_read_write,2.6489100981251467e-5,16
P_vulnerable_income,2.5382055031035777e-5,17
Total_houses,2.062250564099115e-5,18
P_female,1.92439246115358e-5,19
P_disability,1.5059670995536138e-5,20
P_lack_quality_living_spaces,9.648641054106806e-6,21
P_indigenous_language,9.624791606318615e-6,22
P_age_00_14,9.238060159349052e-6,23
P_age_15_39,9.165084110033079e-6,24
P_afrodescendants,9.057602915833549e-6,25
P_educational_lag,8.406585963744845e-6,26
P_poverty,5.402494293871876e-6,27
Mean_occupants,5.214499861003922e-6,28
