feature,importance_value,rank
P_internet,0.0030259172102450214,1
bias_w,0.0014406940226615369,2
P_cell_phone,7.737096216899473e-4,3
longitude,7.535206118597769e-4,4
Current_income,6.326888682500272e-4,5
P_working,5.951922069024213e-4,6
P_vulnerable_income,5.762209678489258e-4,7
P_migrants,5.631698287530498e-4,8
P_university_studies,5.168684881928774e-4,9
Mean_age,4.901612151818297e-4,10
P_extreme_poverty,4.625610519056836e-4,11
Mean_occupants,4.411571757791471e-4,12
P_read_write,4.3681687538178895e-4,13
P_indigenous_language,3.4243773854697695e-4,14
P_car,3.3425810985341124e-4,15
P_educational_lag,3.1881987205463496e-4,16
latitude,3.1436372584814495e-4,17
P_lack_quality_living_spaces,3.049301589320227e-4,18
P_age_00_14,2.9337747779023256e-4,19
P_afrodescendants,2.7588499537081637e-4,20
P_age_15_39,2.685013359412247e-4,21
P_female,2.5684787440771853e-4,22
P_disability,2.2785102686206308e-4,23
P_electricity,2.1215325506945742e-4,24
Total_houses,2.0665379205143185e-4,25
P_poverty,1.795076831567015e-4,26
P_age_65_more,1.6962495474048565e-4,27
Total_residents,8.74120501494311e-5,28
