feature,importance_value,rank
P_internet,9.949874206535087e-4,1
bias_w,3.7012050246306257e-4,2
P_cell_phone,2.2559831935826583e-4,3
Current_income,2.241808034172132e-4,4
P_university_studies,1.901936286525239e-4,5
longitude,1.4020841862529907e-4,6
Total_houses,1.0609043042858409e-4,7
latitude,1.0548963246248866e-4,8
P_car,9.417075610221866e-5,9
P_female,7.770635554313372e-5,10
P_migrants,6.100085124288833e-5,11
Mean_occupants,5.360975600307588e-5,12
P_extreme_poverty,4.982045331412131e-5,13
P_electricity,4.8326348166159224e-5,14
P_age_00_14,4.4139498264205495e-5,15
Total_residents,4.3380643527815896e-5,16
P_disability,3.6286383026146774e-5,17
P_read_write,3.322303383865599e-5,18
P_age_15_39,2.763518409749855e-5,19
P_working,2.7510943786162506e-5,20
P_lack_quality_living_spaces,2.7398851169236528e-5,21
P_poverty,2.7181743810733752e-5,22
P_educational_lag,2.604830208539454e-5,23
P_afrodescendants,2.4423448378428942e-5,24
P_vulnerable_income,2.3079915124568704e-5,25
Mean_age,2.1117979153908976e-5,26
P_age_65_more,7.851630226484951e-6,27
P_indigenous_language,6.348300510701173e-6,28
