feature,importance_value,rank
P_internet,8.434836498580358e-4,1
Current_income,3.4597453414724166e-4,2
P_cell_phone,2.759769056582055e-4,3
longitude,1.8705694487297254e-4,4
P_university_studies,1.8683834319432402e-4,5
latitude,1.674769040617947e-4,6
Total_houses,1.1292971791586048e-4,7
P_car,1.0879031099595919e-4,8
P_migrants,9.886307855151554e-5,9
P_read_write,8.968231645654197e-5,10
P_extreme_poverty,8.505959064545214e-5,11
P_electricity,7.096157714452592e-5,12
P_age_00_14,6.916869660381176e-5,13
P_female,6.44578144579576e-5,14
P_vulnerable_income,5.4838439602898685e-5,15
Mean_occupants,5.302232914701304e-5,16
Total_residents,4.851126555847167e-5,17
P_afrodescendants,4.8232921150759655e-5,18
P_educational_lag,4.77748582742063e-5,19
P_poverty,4.472856393839638e-5,20
P_age_15_39,3.792888236188057e-5,21
P_disability,3.7299762338374254e-5,22
P_lack_quality_living_spaces,3.544075559194288e-5,23
P_working,2.9875019653755417e-5,24
bias_w,2.9309178433540956e-5,25
P_indigenous_language,2.0626159855896785e-5,26
P_age_65_more,1.601976233672411e-5,27
Mean_age,1.26633875604906e-5,28
