feature,importance_value,rank
P_internet,0.003026011996975809,1
P_cell_phone,8.176526358990754e-4,2
Current_income,7.915554178886642e-4,3
P_working,6.525984011159433e-4,4
latitude,5.930754788369825e-4,5
P_migrants,5.816207151739933e-4,6
P_extreme_poverty,5.740835432153648e-4,7
longitude,5.694388014474115e-4,8
P_vulnerable_income,5.302120064990703e-4,9
P_read_write,5.009593668220182e-4,10
Mean_age,4.979351406787716e-4,11
P_car,4.3443844381692244e-4,12
P_university_studies,4.264301339931825e-4,13
Mean_occupants,4.110280402300422e-4,14
P_indigenous_language,3.4350279452181925e-4,15
P_poverty,3.4237569262828373e-4,16
P_lack_quality_living_spaces,3.3302798872811485e-4,17
P_age_15_39,3.118335357691747e-4,18
P_afrodescendants,2.9886889839590274e-4,19
P_educational_lag,2.941137860566747e-4,20
P_electricity,2.8436867768337227e-4,21
P_age_00_14,2.828280835353424e-4,22
P_disability,2.700731564970731e-4,23
P_female,2.262877494255086e-4,24
P_age_65_more,2.2064617757459548e-4,25
Total_houses,2.0732281118018256e-4,26
Total_residents,1.0765313665328075e-4,27
