feature,importance_value,rank
P_internet,8.174095588663246e-4,1
bias_w,3.41777846321037e-4,2
Current_income,3.2943221263200033e-4,3
P_cell_phone,2.2405117806880017e-4,4
P_university_studies,2.2301628334422743e-4,5
longitude,1.8574829320848094e-4,6
Total_houses,1.1875685394350589e-4,7
P_migrants,9.77495901885817e-5,8
latitude,9.232714983377063e-5,9
P_female,8.814795546197121e-5,10
P_age_00_14,8.590040712666761e-5,11
P_car,7.781971922759535e-5,12
P_electricity,6.469504940607166e-5,13
P_extreme_poverty,6.354706458641761e-5,14
P_afrodescendants,6.065561824578711e-5,15
P_vulnerable_income,6.060262398132041e-5,16
P_read_write,5.582072766895156e-5,17
Mean_occupants,4.828641823583973e-5,18
Total_residents,4.788098634749821e-5,19
P_age_15_39,3.969105969110208e-5,20
P_disability,3.8929548701930686e-5,21
P_lack_quality_living_spaces,3.818288507263923e-5,22
P_poverty,3.724969245871594e-5,23
P_educational_lag,3.301932722910197e-5,24
P_indigenous_language,3.2743705861235965e-5,25
P_working,2.97074507381712e-5,26
Mean_age,2.3146619807519756e-5,27
P_age_65_more,1.5083787364615955e-5,28
