feature,importance_value,rank
P_internet,0.0027575477084678217,1
bias_w,0.0015482415011667504,2
P_cell_phone,6.33056492202766e-4,3
Current_income,5.93101018507701e-4,4
P_working,5.037849862121735e-4,5
P_vulnerable_income,4.7484433172166813e-4,6
P_migrants,3.981518347098754e-4,7
P_university_studies,3.901750409965372e-4,8
Mean_occupants,3.4546093228592187e-4,9
P_car,3.128759756762353e-4,10
P_extreme_poverty,3.117196273781212e-4,11
P_read_write,2.84890983170589e-4,12
longitude,2.8087722773511046e-4,13
Mean_age,2.7784434095867147e-4,14
P_poverty,2.777437353378235e-4,15
P_educational_lag,2.706449500210859e-4,16
P_lack_quality_living_spaces,2.6906945557565005e-4,17
P_indigenous_language,2.6423148746470003e-4,18
P_age_15_39,2.3704796096076918e-4,19
P_electricity,2.3411687684809097e-4,20
P_afrodescendants,1.9359900330648456e-4,21
Total_houses,1.9095012004504523e-4,22
latitude,1.8567432372379979e-4,23
P_female,1.812163150319295e-4,24
P_disability,1.3752305495196983e-4,25
P_age_00_14,1.0994759676103525e-4,26
P_age_65_more,8.713070842315487e-5,27
Total_residents,4.71636573063049e-5,28
